,Datetime,Tweet Id,Text,Username
0,2022-04-19 08:30:02+00:00,1516333287744102405,Grandpa Surprisingly Willing To Talk About Man He Killed,TheOnion
1,2022-04-19 06:30:01+00:00,1516303084628099076,Nation Attempts To Fall Asleep By Doing Little Impression Of Sleeping,TheOnion
2,2022-04-19 05:00:01+00:00,1516280436334473221,"When it comes to pip blips, Megan Fox takes the cake. Case in point.",TheOnion
3,2022-04-19 04:30:01+00:00,1516272886314672130,Longtime Sleepytime Tea Addict Has To Use 6 Bags Just To Feel Drowsy,TheOnion
4,2022-04-19 03:15:00+00:00,1516254005869096968,The Onion: Now on another part of your phone. Follow us on TikTok.,TheOnion
5,2022-04-19 02:45:01+00:00,1516246462543314947,“The world is ending at 6:43 a.m. tomorrow.”,TheOnion
6,2022-04-19 02:00:04+00:00,1516235148924178439,"Catcaller Not Sure What The Big Deal Is Since He’d Love For A Woman To Call Him A Fat, Stuck-Up Bitch",TheOnion
7,2022-04-19 01:15:01+00:00,1516223810940379137,"Yeah, Yeah, Nation Gets It, We Rapidly Approaching End Of Critical Window To Avert Climate Collapse Or Whatever",TheOnion
8,2022-04-19 00:30:02+00:00,1516212492623613959,Navy Seal Swimming In Full Tactical Gear Must Have Terrible Body Image Issues,TheOnion
9,2022-04-19 00:00:04+00:00,1516204950904311813,Your previously just-right hat starting to feel a little too snug perched on your head is a big warning sign that you have clinical depression.,TheOnion
10,2022-04-18 23:45:01+00:00,1516201164261445632,Woman Sporting Sandal Tan Must Have Just Returned From Weekend Aboard $35 Million Yacht Off Coast Of Ibiza,TheOnion
11,2022-04-18 23:00:07+00:00,1516189861232975875,Total Banger On Grocery Store Loudspeaker Interrupted For Lost Child Announcement,TheOnion
12,2022-04-18 22:15:03+00:00,1516178521277751299,"The more text something has on it, the more people will say, ""That person definitely knows how to read.""",TheOnion
13,2022-04-18 21:45:02+00:00,1516170968800108545,Bus Stop Ad Just Offering $500 For Fresh Humans,TheOnion
14,2022-04-18 21:01:01+00:00,1516159892071100416,“What flavor Mountain Dew should I give a woman if I’m trying to get her interested in going on a date with me?”,TheOnion
15,2022-04-18 20:00:08+00:00,1516144568391118850,Company Referral Program Offers Bonuses For Recommending Potential Employees To Fire,TheOnion
16,2022-04-18 19:15:02+00:00,1516133220194078727,"Money might be fake, but your boss’s reluctance to pay you isn’t. Here are common excuses employers will use to avoid giving you a hard-earned raise.",TheOnion
17,2022-04-18 18:54:21+00:00,1516128014282727424,General Mills Releases New Lucky Charms With 15 Percent Less Leprechaun Meat,TheOnion
18,2022-04-18 18:00:18+00:00,1516114410904985607,"While spiders are indeed scary creatures, any links between them and critical race theory remain tenuous at best.",TheOnion
19,2022-04-18 17:45:03+00:00,1516110575541145614,Grandpa Surprisingly Willing To Talk About Man He Killed,TheOnion
20,2022-04-18 17:00:21+00:00,1516099324110901251,Deshaun Watson’s Contract Includes Clause Voiding Guaranteed Money In Event Of Injury Sustained During Sexual Assault,TheOnion
21,2022-04-18 16:15:04+00:00,1516087927813640197,Shot Taken With Bartender Included On Bill,TheOnion
22,2022-04-18 15:30:07+00:00,1516076618476838921,Man Shopping For Cheap Sunglasses Troubled By Reviews Calling Sunglasses Cheap,TheOnion
23,2022-04-18 15:00:24+00:00,1516069138371948551,“I got really into borscht.”  — Edward Snowden,TheOnion
24,2022-04-18 14:45:03+00:00,1516065275698888709,Kim Gives Luxury Home To North Korea’s Most Famous Newscaster,TheOnion
25,2022-04-18 14:00:35+00:00,1516054085568507904,Pope Francis Scouring Papal Tombs For Final Easter Egg Of Vatican Hunt,TheOnion
26,2022-04-18 13:15:02+00:00,1516042621621260296,The maid: It was the maid! It was the maid the whole time!,TheOnion
27,2022-04-18 12:30:02+00:00,1516031297742901259,Push Notification Informs Man Of Human Rights Violation,TheOnion
28,2022-04-18 03:00:01+00:00,1515887848716648448,“I’ve changed so much since we’ve broken up.”,TheOnion
29,2022-04-18 02:30:01+00:00,1515880299124699141,Insane Man Makes It Through Another Day Without Anyone Catching On,TheOnion
30,2022-04-18 01:31:01+00:00,1515865448822231045,Widow Finally Ready To Get Out There And Outlive Someone New,TheOnion
31,2022-04-18 01:00:03+00:00,1515857658204545027,"Not only will they feel like an idiot for not noticing all your layers, you’ll also be showing off how rich in outerwear you are.",TheOnion
32,2022-04-18 00:30:02+00:00,1515850102006599682,Man Living In Most Affluent Country In World History Has Nerve To Complain About Being Homeless,TheOnion
33,2022-04-17 23:30:02+00:00,1515835003086807050,"‘It’s Good To Practice Some Self Care,’ Says Man Kicking Back And Letting Last Chance At Happiness And Success Slip Away",TheOnion
34,2022-04-17 23:00:03+00:00,1515827457772904448,"This is to justify paying you less then minimum wage, and not, as HR claims, to encourage your colleagues to reward you for a job well done.",TheOnion
35,2022-04-17 21:30:01+00:00,1515804801736626189,New Abortion Law Would Force Women To Leave Choice Up To High Stakes Wheel Of Destiny,TheOnion
36,2022-04-17 20:00:05+00:00,1515782169083449354,"Ending up at Boston University: It’s fine, but it’s not Harvard. It’s not where your father went and his father and his father, is it? So, what’s the point of living at all?",TheOnion
37,2022-04-17 19:30:02+00:00,1515774607508312070,New Evidence Reveals Christ Lounged In Tomb For Extra Hour Before Finally Rising From Grave,TheOnion
38,2022-04-17 18:30:01+00:00,1515759503328915457,Picture Of Rash Uploaded To Different Subreddit For Second Opinion,TheOnion
39,2022-04-17 18:00:08+00:00,1515751982983749649,“I just check the box on my 1040 that asks if I’d like to opt out.” — Michael Dell,TheOnion
40,2022-04-17 17:30:02+00:00,1515744408901148677,Study Finds Salmon Complete Transatlantic Voyage Using Same Teleportation Chamber As Ancestors,TheOnion
41,2022-04-17 16:30:02+00:00,1515729307603292170,Man’s Entire Diet Plan Eating So Much Of Delicious Thing He Gets Sick Of It,TheOnion
42,2022-04-17 15:30:03+00:00,1515714214463262725,Report: 17% Of Easter Egg Hunts End In Child Setting Off Landmine,TheOnion
43,2022-04-17 15:00:18+00:00,1515706725613150215,You can at least take solace in the fact that you went to school with a future CEO or Supreme Court justice.,TheOnion
44,2022-04-17 14:30:06+00:00,1515699123894329352,Tide Accused Of Over-Inflating Number Of Children Who Roll Around In Mud Puddles Before Running Into House,TheOnion
45,2022-04-17 03:00:01+00:00,1515525460184207361,Not everyone who makes minimum wage knows each other!,TheOnion
46,2022-04-17 02:30:01+00:00,1515517910994796544,Woman In Giddy Honeymoon Stage Of Hating Someone New,TheOnion
47,2022-04-17 01:30:02+00:00,1515502813211770881,Everyone On Camping Trip Just Gets Out Of Way While Friend Who Knows What He’s Doing Takes Care Of Everything,TheOnion
48,2022-04-17 00:30:01+00:00,1515487712547115023,"Man Holding Marshmallow Stick Starting To Turn That Perfect, Blistery Golden-Brown",TheOnion
49,2022-04-16 23:30:02+00:00,1515472614650781704,Football Pads Only Investment Dad Will Ever Make In Children,TheOnion
50,2022-04-16 22:30:01+00:00,1515457512744669189,Man Starting To Understand What NFTs Are After Dropping $69 Million On Beeple Artwork,TheOnion
51,2022-04-16 22:00:05+00:00,1515449979564920839,Make sure the diet provides the flexibility for you to occasionally go for the record for pastrami sandwiches consumed in three minutes.,TheOnion
52,2022-04-16 21:30:01+00:00,1515442413845852173,Luxury Condo Boasts Floor-To-Ceiling Toilets,TheOnion
53,2022-04-16 20:30:02+00:00,1515427316272402435,Taquitos Finally Hatch After Days Under Heat Lamp,TheOnion
54,2022-04-16 20:00:05+00:00,1515419779531685893,Research shows that being forthright about looming felony indictments is better for a child’s development.,TheOnion
55,2022-04-16 19:30:03+00:00,1515412222377447437,Oklahoma Tumbleweed Forced To Travel Across Three States To Get Abortion,TheOnion
56,2022-04-16 18:30:02+00:00,1515397116784525314,Researchers Determine Coelacanth Faked Own Extinction To Escape Massive Gambling Debt,TheOnion
57,2022-04-16 17:30:02+00:00,1515382019081273346,Lowly 9-Year-Olds Gaze Longingly At Elite Few Chosen To Bowl In Birthday Boy’s Lane,TheOnion
58,2022-04-16 17:00:28+00:00,1515374580357074947,"The last thing you want while booking your wedding is to be three months out without a caterer, dress, or venue. Learn exactly when to plan each aspect of your special day with The Onion’s wedding calendar.",TheOnion
59,2022-04-16 16:30:02+00:00,1515366917816688643,"‘This Is What It’s All About, Boys,’ Says Man Hour Away From Complete Meltdown On Sixth Hole",TheOnion
60,2022-04-16 15:30:04+00:00,1515351827545473028,Parents Ask If Son Wouldn’t Mind Stopping By To Fix Gaping Void In Their Lives,TheOnion
61,2022-04-16 14:30:03+00:00,1515336724188127235,New Biblical Evidence Reveals Christ Suffered Extensive Brain Damage During Time Lying Dead In Tomb,TheOnion
62,2022-04-16 14:00:31+00:00,1515329292460302339,"These bottles are not only a dead giveaway that you’ve been drinking, but they also contribute to the dizziness you may be feeling.",TheOnion
63,2022-04-16 03:15:00+00:00,1515166845015314433,"If you love TikTok, you will love website",TheOnion
64,2022-04-16 02:45:01+00:00,1515159297130442755,"Bezos decides to have you killed: Though it’s all a game to the Amazon founder, the death toll is very real.",TheOnion
65,2022-04-16 02:00:02+00:00,1515147977953882116,Theoretical Astro-Fetishists Posit Black Holes Could Be Used For Anonymous Sex Across Parallel Universes,TheOnion
66,2022-04-16 01:15:01+00:00,1515136647792406536,Raid Introduces Holy Water-Infused Spray That Allows Cockroaches To Be Baptized And Die As Christians,TheOnion
67,2022-04-16 00:30:02+00:00,1515125326237638657,Study: ‘Truly Being Seen’ Still Ranks Among Worst Possible Experiences In Human Existence,TheOnion
68,2022-04-16 00:00:06+00:00,1515117795834535940,"Pretending you just got a direct call from the president is great for scaring off catcallers, who definitely won’t want to tangle with the Secret Service.",TheOnion
69,2022-04-15 23:45:01+00:00,1515113997359632388,Cash-Strapped Couple Forced To Share Bed,TheOnion
70,2022-04-15 23:00:05+00:00,1515102692993032200,Report: Most Parents Willing To Entrust Children To Anyone In Character Costume,TheOnion
71,2022-04-15 22:30:03+00:00,1515095131359260674,Thank God I Live In New Jersey — by Eric Adams,TheOnion
72,2022-04-15 22:15:03+00:00,1515091360214405125,"Just the right amount of mug, every time.",TheOnion
73,2022-04-15 21:30:04+00:00,1515080037241962500,GOP Withdraws From Presidential Debate Panel  #WhatDoYouThink?,TheOnion
74,2022-04-15 21:00:09+00:00,1515072509141520384,Liposuction accidentally sucks out internal organs: An all-too-common death the physique-obsessed Sunshine State.,TheOnion
